Day,Temperature
0,20.493653078844687
1,21.553073017752755
2,21.25172924748647
3,21.851486878135464
4,26.22949364373009
5,24.122817958095403
6,26.382070297958958
7,25.165827631514993
8,28.135509839362065
9,26.77406817487899
10,27.5240158705545
11,29.87866645197382
12,28.65821784144046
13,30.442682359285048
14,30.901816611411522
15,30.94711889405469
16,29.967765457679143
17,29.069466582427637
18,31.652374630333934
19,29.31010796268873
20,28.024071732880532
21,27.176500986456713
22,27.989117325064104
23,27.12592113561569
24,26.84163681015865
25,26.244819582159966
26,26.18793738168727
27,24.12450489391839
28,23.049421849023034
29,20.587940084079488
30,22.03976968671014
31,19.477136005212753
32,20.228552209300833
33,17.8099113744873
34,17.55861071955092
35,15.90862867235039
36,14.541359878805611
37,15.151684051184443
38,14.72820650731828
39,15.412876146342045
40,13.634381968452647
41,11.602725757701755
42,12.334881923057427
43,11.04124944816719
44,10.963151473028152
45,9.802601802601211
46,9.899736630527652
47,11.56802995142296
48,9.77399157058447
49,9.849710829838262
50,10.614228115520504
51,11.663891207610256
52,10.701998004045185
53,11.63657205828224
54,13.800539391947506
55,14.343734349131495
56,13.402211464295787
57,15.272970787267457
58,14.599977565147412
59,15.493851608636001
60,16.926736427521558
61,18.491587134296573
62,19.558791266990635
63,21.710566803573666
64,21.121920645856466
65,21.85298573745711
66,24.391797093494763
67,24.500005908872726
68,25.07745679237272
69,25.439016443591516
70,26.53089721321704
71,28.64963758413985
72,27.748014711583835
73,27.79889222553452
74,31.459965459050434
75,28.657452003233452
76,31.141062070391307
77,30.149057241667826
78,28.742160036449086
79,30.365176972990806
80,29.092430209957215
81,30.819231460532187
82,30.528961868320863
83,27.915939247734546
84,27.915359356542037
85,26.288256856067964
86,29.195111543020737
87,27.394600401820373
88,25.96113045425318
89,26.312968084225425
90,23.212129924548478
91,22.825700215355905
92,21.90019313088391
93,19.970803819275822
94,21.174477018962133
95,19.340737140995646
96,19.187524309548063
97,18.22367094917424
98,17.71306010502114
99,15.469648968100737
100,15.317320596203935
101,14.528846089033573
102,12.539351924074062
103,12.109052990500171
104,13.396243036156271
105,10.945836690120199
106,10.714738205615122
107,9.163122586992827
108,10.926326889462361
109,11.019698714796435
110,9.915910327737324
111,11.165254241751247
112,10.636615408641191
113,8.850559427912371
114,11.163339379599922
115,11.315533941541082
116,12.250957263189735
117,14.165459118700248
118,14.91163495697045
119,14.668477764821517
120,14.438818340823456
121,15.56073491082014
122,17.548181857448604
123,17.995638917233904
124,20.997598788304344
125,20.20050656095343
126,21.503477154843907
127,21.705192034717097
128,22.779640450398716
129,22.88157292966423
130,24.95755776001184
131,24.422927472362396
132,27.550862935674065
133,26.25217101694071
134,29.092089919022516
135,28.049740446078616
136,30.323270723728715
137,29.906188175176084
138,31.911411544027654
139,28.97357249569898
140,31.747356310799614
141,31.394215847190534
142,29.748947533339194
143,29.104838511805912
144,29.657464543351566
145,29.970999985493204
146,28.78186211303858
147,28.4699671598337
148,28.549172619034167
149,29.496578805491946
150,26.865762511544467
151,26.32461158867758
152,24.347175955468465
153,24.43904371615987
154,23.43778669103294
155,24.22548060899857
156,21.39290653475301
157,20.92188175293054
158,19.526856398009077
159,17.184031364435302
160,18.042755471231796
161,15.509888028526188
162,14.8885191977821
163,14.071418746666845
164,15.77775149575682
165,12.441184373222288
166,13.024253186701872
167,13.926258711261648
168,11.657630747467458
169,9.811358004441326
170,11.910068510935861
171,9.923718604831638
172,8.76225637421227
173,10.699265991620319
174,10.55561700695783
175,9.853640270744023
176,10.464180157032095
177,10.820420764615799
178,10.24420669571183
179,9.02981095618099
180,12.333928999018188
181,12.843984374630201
182,13.14983502235728
183,13.961176218095183
184,16.644989090820875
185,16.38807224302359
186,17.98996580204653
187,19.927637458695422
188,20.21369511586435
189,19.555005153703867
190,20.544392245576557
191,24.20197133244333
192,22.422399692793054
193,25.242981921512637
194,25.014462344143094
195,28.479378298029392
196,28.291546960196285
197,28.446845171257607
198,29.005428737378512
199,28.17558350207495
200,30.118323662511862
201,30.136741655440016
202,30.009183430089212
203,28.932001417005143
204,30.18376737834278
205,30.098492199928845
206,28.72316130261716
207,30.06955461005928
208,30.014448412879045
209,28.001775730994964
210,26.96072666705963
211,28.055141350486885
212,26.997564366165534
213,25.788324008822514
214,25.894095313720943
215,25.980119030710036
216,22.567854068489737
217,24.145442923853594
218,21.088111979560544
219,20.00538956703035
220,17.603295238883167
221,19.315928924298856
222,16.733943302166914
223,17.293931828203196
224,17.024350804827193
225,17.02272030304563
226,13.261518216422779
227,12.372271795698223
228,12.388387527804372
229,12.977020340850798
230,11.112489820706532
231,12.155817461864666
232,11.114417734276005
233,9.56424544997948
234,8.20837477835735
235,9.189858007805723
236,10.56866437343504
237,9.670714389584068
238,11.256040919822663
239,8.752867921210235
240,11.339443685546424
241,10.999231722046035
242,13.67672079813005
243,11.960653219456638
244,10.421756442051807
245,14.40471356299889
246,13.676670968035054
247,16.25722416306676
248,17.102130693508386
249,18.613392697829518
250,19.060140243736363
251,22.12760382037004
252,20.906339435986535
253,21.83922076558392
254,21.010340545449992
255,24.496368046303992
256,24.4552320442789
257,25.956528966070838
258,24.9479026914818
259,26.00547863495878
260,26.809780039323574
261,27.553163126063634
262,28.562161959256922
263,28.33275332945803
264,28.446181176391853
265,29.67499595604472
266,30.500968231569683
267,29.92267839135433
268,29.79841575811871
269,29.037433260597094
270,29.548670520847164
271,26.666758229307263
272,29.084849990552527
273,29.763207998416288
274,27.41105271783276
275,27.48646126928314
276,25.250997317566096
277,24.132880879413175
278,24.04669388735842
279,25.696212854328326
280,21.82298291156057
281,21.28299190788473
282,21.929794534116024
283,20.590953420796875
284,17.74374059325451
285,17.938854032771594
286,18.031353806424303
287,16.295358396230245
288,15.426703596024613
289,14.483485415646443
290,11.749717797257384
291,10.822708482326158
292,12.58765563591874
293,10.269117725311212
294,9.689908828943539
295,10.55490976544983
296,10.205375154022047
297,9.063697198856358
298,10.917178369079235
299,10.036673508205215
300,10.839179425775768
301,11.703856470207267
302,10.024706629514364
303,12.567421337640278
304,11.515179440220306
305,13.275512005087023
306,12.546868260496199
307,14.823997820091476
308,13.079579431382939
309,15.123443510334639
310,15.905029438575196
311,16.305048974102064
312,18.88386596559025
313,19.21826753307246
314,19.119535757752377
315,21.089003499812954
316,22.30679208635798
317,23.78444851567596
318,24.982799812964945
319,23.095124922119915
320,26.02852699253705
321,25.737360159010777
322,26.821539151034006
323,28.565504022858068
324,28.178301909310804
325,28.086924259876323
